PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,OFF_RATING_RANK,sp_work_OFF_RATING_RANK,E_DEF_RATING_RANK,DEF_RATING_RANK,sp_work_DEF_RATING_RANK,E_NET_RATING_RANK,NET_RATING_RANK,sp_work_NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,E_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK,PACE_RANK,sp_work_PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK,season_id
1630639,A.J. Lawson,A.J.,1610612742,DAL,23.0,10,7,3,0.7,3.0,105.0,94.8,94.8,117.2,109.8,109.8,-12.3,-15.0,-15.0,0.0,0.0,0.0,0.036,0.067,0.052,0.0,0.0,0.556,0.557,0.156,0.172,87.81,95.38,79.48,95.38,0.068,58,4,9,0.4,0.9,0.444,56,37,53,25,203,119,174,174,173,100,100,161,175,175,186,166,186,90,188,172,1,1,64,94,115,106,204,105,105,127,149,153,179,193,90,1996-97
1631260,AJ Green,AJ,1610612749,MIL,24.0,6,2,4,0.333,11.2,109.0,107.8,107.8,111.6,111.6,111.6,-2.6,-3.8,-3.8,0.04,2.0,10.0,0.0,0.127,0.064,5.0,4.9,0.438,0.491,0.115,0.123,98.73,99.31,82.76,99.31,0.03,141,6,16,1.0,2.7,0.375,95,101,84,113,140,88,95,95,121,124,124,110,118,118,175,64,157,176,98,138,52,52,155,142,167,166,17,25,25,184,138,137,139,143,147,1996-97
203932,Aaron Gordon,Aaron,1610612743,DEN,28.0,12,7,5,0.583,37.1,108.3,109.0,109.0,113.5,112.9,112.9,-5.2,-3.9,-3.9,0.18,2.94,26.2,0.084,0.122,0.102,8.9,8.9,0.631,0.66,0.153,0.154,94.13,94.05,78.38,94.05,0.114,866,69,118,5.8,9.8,0.585,43,37,161,54,29,94,85,85,137,132,132,126,119,119,57,30,29,37,107,70,119,121,26,22,118,126,131,143,143,58,28,39,43,58,27,1996-97
1630174,Aaron Nesmith,Aaron,1610612754,IND,24.0,17,8,9,0.471,32.9,118.7,120.3,120.3,117.0,117.7,117.7,1.7,2.6,2.6,0.081,1.61,17.1,0.036,0.12,0.078,10.6,10.6,0.511,0.566,0.145,0.147,95.24,94.31,78.59,94.31,0.055,1093,61,141,3.6,8.3,0.433,17,24,200,84,57,22,16,16,168,177,177,84,82,82,132,93,89,90,110,112,147,147,100,85,128,130,95,137,137,152,38,30,71,72,104,1996-97
1630598,Aaron Wiggins,Aaron,1610612760,OKC,25.0,10,6,4,0.6,15.7,110.6,108.4,108.4,98.7,100.0,100.0,11.9,8.4,8.4,0.097,1.11,14.1,0.061,0.122,0.096,12.7,12.7,0.553,0.598,0.172,0.181,95.44,95.77,79.81,95.77,0.114,311,23,47,2.3,4.7,0.489,56,51,84,36,116,77,90,90,39,55,55,33,47,47,113,121,123,52,106,78,171,171,66,55,96,95,81,100,100,59,82,90,100,111,59,1996-97
201143,Al Horford,Al,1610612738,BOS,38.0,19,16,3,0.842,30.3,119.2,118.0,118.0,105.0,106.6,106.6,14.2,11.4,11.4,0.096,3.33,20.5,0.064,0.177,0.121,6.2,6.2,0.605,0.609,0.122,0.126,93.82,93.56,77.96,93.56,0.102,1126,66,138,3.5,7.3,0.478,9,1,53,10,68,20,28,28,66,79,79,29,32,32,114,22,57,48,50,47,64,64,36,50,163,164,137,157,157,72,31,32,76,78,69,1996-97
202692,Alec Burks,Alec,1610612752,NYK,32.0,6,2,4,0.333,20.1,115.7,116.6,116.6,126.6,128.5,128.5,-10.9,-11.9,-11.9,0.092,0.0,8.7,0.03,0.165,0.086,0.0,0.0,0.62,0.694,0.22,0.231,95.84,94.76,78.97,94.76,0.161,241,25,50,4.2,8.3,0.5,95,101,84,113,103,35,38,38,201,203,203,154,163,163,117,166,164,104,60,96,1,1,28,14,50,46,73,122,122,18,78,85,63,70,46,1996-97
1629599,Amir Coffey,Amir,1610612746,LAC,27.0,6,2,4,0.333,18.7,99.4,100.0,100.0,114.1,112.9,112.9,-14.7,-12.9,-12.9,0.031,0.4,6.9,0.017,0.071,0.043,17.2,17.2,0.386,0.386,0.107,0.111,94.3,94.52,78.77,94.52,0.012,217,7,22,1.2,3.7,0.318,95,101,84,113,108,160,142,142,142,133,133,170,167,167,183,163,177,147,180,186,194,194,170,174,181,181,125,127,127,195,130,128,135,128,170,1996-97
1641748,Andre Jackson Jr.,Andre,1610612749,MIL,22.0,5,1,4,0.2,11.9,121.3,117.5,117.5,105.0,106.6,106.6,16.3,10.9,10.9,0.196,3.33,41.7,0.091,0.09,0.09,12.5,12.5,0.545,0.545,0.102,0.109,96.49,97.3,81.08,97.3,0.067,120,5,11,1.0,2.2,0.455,122,136,84,157,138,10,34,34,67,77,77,24,34,34,51,22,5,31,159,90,165,166,74,106,188,184,62,56,56,128,142,149,139,151,84,1996-97
1629614,Andrew Nembhard,Andrew,1610612754,IND,24.0,17,8,9,0.471,32.6,119.8,122.0,122.0,117.5,119.4,119.4,2.4,2.6,2.6,0.23,4.09,30.3,0.027,0.076,0.053,7.4,7.4,0.64,0.654,0.178,0.181,95.02,93.44,77.87,93.44,0.099,1075,102,182,6.0,10.7,0.56,17,24,200,84,59,17,11,11,177,184,184,78,83,83,38,13,19,113,174,171,87,88,22,23,91,93,104,162,162,77,15,20,38,51,30,1996-97
1641710,Anthony Black,Anthony,1610612753,ORL,20.0,2,2,0,1.0,5.4,97.8,95.2,95.2,125.4,133.3,133.3,-27.6,-38.1,-38.1,0.4,2.0,20.0,0.1,0.143,0.118,10.0,10.0,0.429,0.429,0.32,0.341,95.32,93.62,78.02,93.62,0.092,21,3,7,1.5,3.5,0.429,192,101,1,1,168,171,167,167,198,207,207,197,201,201,4,64,61,23,83,48,139,140,158,168,10,6,91,156,156,90,156,164,127,130,107,1996-97
203076,Anthony Davis,Anthony,1610612747,LAL,31.0,5,1,4,0.2,41.6,112.3,111.6,111.6,112.6,114.8,114.8,-0.3,-3.2,-3.2,0.155,1.82,14.9,0.078,0.297,0.193,8.2,8.1,0.634,0.665,0.246,0.255,98.01,97.42,81.18,97.42,0.178,424,59,93,11.8,18.6,0.634,122,136,84,157,5,62,67,67,126,158,158,97,113,113,73,83,113,39,11,11,99,98,24,20,36,36,27,54,54,12,39,52,1,16,16,1996-97
1630162,Anthony Edwards,Anthony,1610612750,MIN,22.0,16,9,7,0.563,40.5,113.7,115.0,115.0,110.5,110.6,110.6,3.1,4.4,4.4,0.277,2.0,19.7,0.028,0.157,0.091,9.9,9.9,0.552,0.598,0.289,0.293,94.56,93.95,78.29,93.95,0.158,1276,156,324,9.8,20.3,0.481,24,18,184,65,10,48,43,43,105,113,113,77,71,71,16,64,67,112,67,89,137,138,67,56,14,17,116,145,145,19,6,6,10,10,67,1996-97
1630559,Austin Reaves,Austin,1610612747,LAL,26.0,5,1,4,0.2,34.8,113.3,112.8,112.8,114.0,116.3,116.3,-0.7,-3.5,-3.5,0.137,4.5,19.4,0.03,0.078,0.055,4.3,4.3,0.532,0.589,0.193,0.2,97.4,96.62,80.52,96.62,0.101,352,30,63,6.0,12.6,0.476,122,136,84,157,50,52,61,61,141,167,167,100,116,116,89,9,71,99,167,162,47,47,85,64,77,81,38,77,77,73,70,74,38,38,71,1996-97
1628389,Bam Adebayo,Bam,1610612748,MIA,26.0,5,1,4,0.2,38.5,102.8,103.8,103.8,113.3,113.8,113.8,-10.5,-10.0,-10.0,0.192,2.38,14.4,0.057,0.2,0.126,6.1,6.0,0.505,0.532,0.28,0.286,93.04,92.38,76.98,92.38,0.135,371,48,97,9.6,19.4,0.495,122,136,84,157,19,138,119,119,135,145,145,152,153,153,53,48,117,54,32,43,62,61,105,120,20,22,158,183,183,36,46,49,12,14,57,1996-97
1641767,Ben Sheppard,Ben,1610612754,IND,22.0,17,8,9,0.471,19.7,119.5,120.4,120.4,115.2,113.8,113.8,4.3,6.5,6.5,0.059,1.55,16.7,0.033,0.12,0.079,10.8,10.7,0.57,0.587,0.11,0.114,97.24,97.5,81.25,97.5,0.052,673,31,71,1.8,4.2,0.437,17,24,200,84,105,19,15,15,157,146,146,70,55,55,159,97,91,95,111,111,151,148,54,66,177,177,44,52,52,156,67,67,116,119,102,1996-97
